prod_id_key,prod_id_value,next_month_prod_id,prepaid
Adventure Time - 5 Items,2477581795386,4399742910522,f
Back To Basics - 2 Items,4408141545530,4399742615610,f
Back To Basics - 3 Items,4408141643834,4399742746682,f
Back To Basics - 3 Items Auto renew,4408141643834,4399742746682,f
Back To Basics - 5 Items,4408142102586,4399742910522,f
Back To Basics - 5 Items Auto renew,4408142102586,4399742910522,f
Bahama Babe - 2 Items,4399644442682,4399742615610,f
Bahama Babe - 2 Items Auto renew,4399644442682,4399742615610,f
Bahama Babe - 3 Items,4399644639290,4399742746682,f
Bahama Babe - 3 Items Auto renew,4399644639290,4399742746682,f
Bahama Babe - 5 Items,4399644934202,4399742910522,f
Berry Crush - 2 Items,4366057209914,4399742615610,f
Berry Crush - 3 Items,4366057406522,4399742746682,f
Berry Crush - 3 Items  Auto renew,4366057406522,4399742746682,f
Berry Crush - 5 Items,4366057963578,4399742910522,f
Blue Skies - 2 Items,4398406959162,4399742615610,f
Blue Skies - 3 Items,4398408073274,4399742746682,f
Blue Skies - 5 Items,4398409089082,4399742910522,f
Blue Skies - 5 Items Auto renew,4398409089082,4399742910522,f
Boss Babe - 3 Items,2525980524602,4399742746682,f
City Limits - 2 Items,4366060453946,4399742615610,f
City Limits - 2 Items  Auto renew,4366060453946,4399742615610,f
City Limits - 3 Items,4366061174842,4399742746682,f
City Limits - 3 Items  Auto renew,4366061174842,4399742746682,f
City Limits - 5 Items,4366066024506,4399742910522,f
City Limits - 5 Items  Auto renew,4366066024506,4399742910522,f
Clean Slate - 5 Items,4373306998842,4399742910522,f
Cupids Kiss - 2 Items,4382377443386,4399742615610,f
Cupids Kiss - 3 Items,4382378229818,4399742746682,f
Cupids Kiss - 3 Items Auto renew,4382378229818,4399742746682,f
Cupids Kiss - 5 Items,4382378360890,4399742910522,f
Cupids Kiss - 5 Items Auto renew,4382378360890,4399742910522,f
Dream On - 2 Items,4408153636922,4399742615610,f
Dream On - 2 Items Auto renew,4408153636922,4399742615610,f
Dream On - 3 Items,4408153833530,4399742746682,f
Dream On - 3 Items Auto renew,4408153833530,4399742746682,f
Dream On - 5 Items,4408154161210,4399742910522,f
Ellie Picks - 2 Items,4399742615610,4399742615610,f
Ellie Picks - 2 Items Auto renew,4399742615610,4399742615610,f
Ellie Picks - 3 Items,4399742746682,4399742746682,f
Ellie Picks - 3 Items Auto renew,4399742746682,4399742746682,f
Ellie Picks - 5 Items,4399742910522,4399742910522,f
Ellie Picks - 5 Items Auto renew,4399742910522,4399742910522,f
Fierce & Floral - 5 Items,2227259342906,4399742910522,f
Floral Bliss - 2 Items,4320724910138,4399742615610,f
Floral Bliss - 3 Items,4320725106746,4399742746682,f
Floral Bliss - 3 Items  Auto renew,4320725106746,4399742746682,f
Floral Bliss - 5 Items,4320726024250,4399742910522,f
Gear Up - 5 Items  Auto renew,4320732905530,4399742910522,f
Glow Getter - 2 Items,4408155603002,4399742615610,f
Glow Getter - 3 Items,4408155701306,4399742746682,f
Glow Getter - 3 Items Auto renew,4408155701306,4399742746682,f
Glow Getter - 5 Items,4408176607290,4399742910522,f
Glow Getter - 5 Items Auto renew,4408176607290,4399742910522,f
Good Intentions - 3 Items,2405031280698,4399742746682,f
Good Intentions - 5 Items,2405031477306,4399742910522,f
Kaleidoscope - 2 Items,4408154587194,4399742615610,f
Kaleidoscope - 2 Items Auto renew,4408154587194,4399742615610,f
Kaleidoscope - 3 Items,4408154718266,4399742746682,f
Kaleidoscope - 3 Items Auto renew,4408154718266,4399742746682,f
Kaleidoscope - 5 Items,4408154980410,4399742910522,f
Kaleidoscope - 5 Items Auto renew,4408154980410,4399742910522,f
Knockout - 3 Items,4382379475002,4399742746682,f
Making Moves - 2 Items,4398463418426,4399742615610,f
Making Moves - 3 Items,4398463516730,4399742746682,f
Matcha Cha Cha - 2 Items,4408142331962,4399742615610,f
Matcha Cha Cha - 2 Items Auto renew,4408142331962,4399742615610,f
Matcha Cha Cha - 3 Items,4408142463034,4399742746682,f
Matcha Cha Cha - 3 Items Auto renew,4408142463034,4399742746682,f
Matcha Cha Cha - 5 Items,4408153047098,4399742910522,f
Matcha Cha Cha - 5 Items Auto renew,4408153047098,4399742910522,f
Prism Perfect - 3 Items  Auto renew,2339796320314,4399742746682,f
Queen Vibes - 3 Items,4399738585146,4399742746682,f
Rise Up - 5 Items,2372785438778,4399742910522,f
Rose Quartz - 5 Items,2372787535930,4399742910522,f
Ruby Sheen - 3 Items,4320735559738,4399742746682,f
Supernova - 2 Items,4382368825402,4399742615610,f
Supernova - 2 Items Auto renew,4382368825402,4399742615610,f
Supernova - 3 Items Auto renew,4382368890938,4399742746682,f
Under The Radar - 2 Items,4398464499770,4399742615610,f
Under The Radar - 2 Items Auto renew,4398464499770,4399742615610,f
Under The Radar - 3 Items,4398464565306,4399742746682,f
Under The Radar - 3 Items Auto renew,4398464565306,4399742746682,f
Under The Radar - 5 Items,4399643066426,4399742910522,f
Under The Radar - 5 Items Auto renew,4399643066426,4399742910522,f
Victory Lap - 3 Items,2372782751802,4399742746682,f
Violet Rhapsody - 2 Items,4408177066042,4399742615610,f
Violet Rhapsody - 2 Items Auto renew,4408177066042,4399742615610,f
Violet Rhapsody - 3 Items,4408177164346,4399742746682,f
Violet Rhapsody - 5 Items,4408177918010,4399742910522,f
Violet Rhapsody - 5 Items Auto renew,4408177918010,4399742910522,f
Wave Runner - 2 Items,4399737405498,4399742615610,f
Wave Runner - 3 Items,4399737798714,4399742746682,f
Wildflower - 3 Items,2477581959226,4399742746682,f
