prod_id_key,prod_id_value,next_month_prod_id,prepaid
Back To Basics - 2 Items,4408141545530,4429044121658,f
Back To Basics - 3 Items,4408141643834,4429051559994,f
Back To Basics - 3 Items Auto renew,4408141643834,4429051559994,f
Back To Basics - 5 Items,4408142102586,4429052051514,f
Bahama Babe - 2 Items,4399644442682,4429044121658,f
Bahama Babe - 3 Items,4399644639290,4429051559994,f
Bahama Babe - 3 Items Auto renew,4399644639290,4429051559994,f
Bahama Babe - 5 Items,4399644934202,4429052051514,f
Bayside Breeze - 3 Items,4382371840058,4429051559994,f
Berry Crush - 2 Items,4366057209914,4429044121658,f
Berry Crush - 3 Items,4366057406522,4429051559994,f
Blue Skies - 3 Items,4398408073274,4429051559994,f
City Limits - 2 Items,4366060453946,4429044121658,f
City Limits - 3 Items,4366061174842,4429051559994,f
City Limits - 3 Items  Auto renew,4366061174842,4429051559994,f
City Limits - 5 Items,4366066024506,4429052051514,f
City Limits - 5 Items  Auto renew,4366066024506,4429052051514,f
Clean Slate - 3 Items,4373264957498,4429051559994,f
Cupids Kiss - 2 Items,4382377443386,4429044121658,f
Cupids Kiss - 2 Items Auto renew,4382377443386,4429044121658,f
Cupids Kiss - 3 Items,4382378229818,4429051559994,f
Cupids Kiss - 3 Items Auto renew,4382378229818,4429051559994,f
Cupids Kiss - 5 Items,4382378360890,4429052051514,f
Cupids Kiss - 5 Items Auto renew,4382378360890,4429052051514,f
Dream On - 2 Items,4408153636922,4429044121658,f
Dream On - 3 Items,4408153833530,4429051559994,f
Dream On - 3 Items Auto renew,4408153833530,4429051559994,f
Dream On - 5 Items,4408154161210,4429052051514,f
Dream On - 5 Items Auto renew,4408154161210,4429052051514,f
Ellie Picks - 3 Items,4399742746682,4429051559994,f
Floral Bliss - 2 Items  Auto renew,4320724910138,4429044121658,f
Floral Bliss - 3 Items,4320725106746,4429051559994,f
Floral Bliss - 3 Items  Auto renew,4320725106746,4429051559994,f
Floral Bliss - 5 Items,4320726024250,4429052051514,f
Flower Bud - 3 Items,2267632697402,4429051559994,f
Glow Getter - 2 Items,4408155603002,4429044121658,f
Glow Getter - 3 Items,4408155701306,4429051559994,f
Glow Getter - 3 Items Auto renew,4408155701306,4429051559994,f
Glow Getter - 5 Items,4408176607290,4429052051514,f
Glow Getter - 5 Items Auto renew,4408176607290,4429052051514,f
Kaleidoscope - 2 Items,4408154587194,4429044121658,f
Kaleidoscope - 2 Items Auto renew,4408154587194,4429044121658,f
Kaleidoscope - 3 Items,4408154718266,4429051559994,f
Kaleidoscope - 3 Items Auto renew,4408154718266,4429051559994,f
Kaleidoscope - 5 Items,4408154980410,4429052051514,f
Making Moves - 3 Items,4398463516730,4429051559994,f
Making Moves - 5 Items,4398463877178,4429052051514,f
Matcha Cha Cha - 2 Items,4408142331962,4429044121658,f
Matcha Cha Cha - 2 Items Auto renew,4408142331962,4429044121658,f
Matcha Cha Cha - 3 Items,4408142463034,4429051559994,f
Matcha Cha Cha - 3 Items Auto renew,4408142463034,4429051559994,f
Matcha Cha Cha - 5 Items,4408153047098,4429052051514,f
Matcha Cha Cha - 5 Items Auto renew,4408153047098,4429052051514,f
Queen Vibes - 3 Items Auto renew,4399738585146,4429051559994,f
Supernova - 2 Items,4382368825402,4429044121658,f
Supernova - 3 Items,4382368890938,4429051559994,f
Supernova - 3 Items Auto renew,4382368890938,4429051559994,f
True Blue - 3 Items,2226409963578,4429051559994,f
Under The Radar - 3 Items,4398464565306,4429051559994,f
Under The Radar - 3 Items Auto renew,4398464565306,4429051559994,f
Under The Radar - 5 Items,4399643066426,4429052051514,f
Violet Rhapsody - 2 Items,4408177066042,4429044121658,f
Violet Rhapsody - 3 Items,4408177164346,4429051559994,f
Violet Rhapsody - 3 Items Auto renew,4408177164346,4429051559994,f
Violet Rhapsody - 5 Items,4408177918010,4429052051514,f
